US		en-US
CA	QC	en-CA
CA	NB	en-CA
CA		fr-CA
IN		en-IN
CN		zh-CN
GB		en-GB
DE		de-DE
FR		fr-FR
JP		ja-JP
SG		en-SG
AU		en-AU
RU		ru-RU
KR		ko-KR
MY		en-MY
TR		tr-TR
MX		es-MX
BR		pt-BR
NL		nl-NL
TW		zh-TW
IT		it-IT
AE		ar-XA
ID		en-ID
PH		en-PH
VN		NULL
SE		sv-SE
HK		zh-HK
TH		th-TH
AR		es-AR
BE	WAL	nl-BE
BE	BRU	nl-BE
BE	Brussels Capital	nl-BE
BE		fr-BE
ES		es-ES
PR		es-XL
NZ		en-NZ
JM		en-US
GW		pt-PT
SA		ar-XA
CH		de-CH
ZA		en-ZA
IE		en-IE
PL		pl-PL
BD		en-IN
NG		NULL
VE		es-XL
PE		es-XL
JE		en-GB
QA		ar-XA
IL		he-IL
PK		NULL
CO		es-XL
PA		es-XL
IQ		ar-XA
EG		ar-XA
DK		da-DK
NO		nb-NO
AF		NULL
RO		ro-RO
IR		NULL
MA		ar-XA
GE		NULL
UA		uk-UA
CZ		cs-CZ
AT		de-AT
KW		ar-XA
CL		es-XL
HU		hu-HU
NP		NULL
FI		fi-FI
BM		en-US
LB		ar-XA
GR		el-GR
OM		ar-XA
MD		ro-RO
PT		pt-PT
KE		NULL
JO		ar-XA
LK		NULL
MO		zh-HK
NC		fr-FR
BH		ar-XA
GA		fr-FR
MN		NULL
CU		es-XL
EC		es-XL
SC		NULL
ZW		NULL
LA		NULL
GH		NULL
SK		sk-SK
DZ		ar-XA
KY		en-US
CR		es-XL
BG		bg-BG
NE		fr-FR
LU		NULL
KZ		NULL
GU		en-US
BY		NULL
RS		NULL
ST		pt-PT
AL		NULL
ET		NULL
UG		NULL
LT		lt-LT
DO		es-US
CY		el-GR
AM		NULL
TZ		NULL
TN		ar-XA
MG		fr-FR
AZ		NULL
SY		ar-XA
AO		pt-PT
MM		NULL
CM		NULL
LV		lv-LV
HR		hr-HR
MS		en-GB
NA		NULL
MU		NULL
SD		ar-XA
MT		NULL
BS		en-US
HN		es-XL
NI		es-XL
BN		NULL
GT		es-XL
VI		en-US
ZM		NULL
PG		en-ID
SN		fr-FR
HT		fr-FR
LY		ar-XA
UY		es-XL
CI		fr-FR
CG		fr-FR
EE		et-EE
KH		NULL
YE		ar-XA
MZ		pt-PT
FJ		en-US
MK		NULL
MW		NULL
UZ		ru-RU
BW		NULL
IS		NULL
SO		NULL
CD		fr-FR
ML		fr-FR
RW		NULL
TT		en-US
BA		hr-HR
LR		NULL
MC		fr-FR
MV		NULL
IM		en-US
VA		it-IT
GG		en-GB
GN		fr-FR
BB		en-US
SV		es-XL
BF		fr-FR
DJ		fr-FR
SI		NULL
MP		NULL
XK		NULL
ER		NULL
GI		en-GB
BO		es-XL
SL		NULL
TG		fr-FR
PY		es-XL
SS		NULL
MH		en-US
BJ		fr-FR
AG		en-US
BT		NULL
AS		en-US
BI		fr-FR
BZ		en-US
GY		en-US
KG		NULL
ME		hr-HR
TJ		NULL
CF		fr-FR
LI		de-DE
GF		fr-FR
MQ		fr-FR
SZ		NULL
CW		nl-NL
GQ		es-XL
SM		it-IT
GD		en-US
GM		NULL
GP		fr-FR
RE		fr-FR
TO		NULL
DM		en-US
LS		NULL
MR		ar-XA
SR		nl-NL
TD		fr-FR
TM		ru-RU
AN		nl-NL
CV		pt-PT
VG		en-US
VU		en-US
IO		en-GB
KN		en-US
KP		ko-KR
NF		en-US
SH		en-US
TC		en-US
YT		fr-FR
AD		NULL
AQ		en-US
AW		nl-NL
BL		fr-FR
GL		da-DK
LC		en-US
PW		en-US
VC		en-US
SB		en-ID
WS		en-US
FO		da-DK
GS		en-US
HM		NULL
KM		ar-XA
MF		fr-FR
PM		fr-FR
PN		en-US
PS		ar-XA
TL		pt-PT
TV		en-US
UM		en-US
AI		en-US
AX		NULL
BQ		nl-NL
BV		NULL
CC		en-US
CK		en-US
NR		en-US
NU		en-US
SJ		NULL
TF		fr-FR
WF		fr-FR